Geographic;City;percent_completed_hs
PA;Pringle borough;90.6
SD;Pringle town;92.8
MN;Prinsburg city;90.4
MN;Prior Lake city;95.6
CO;Pritchett town;94.4
SC;Privateer CDP;83.3
CA;Proberta CDP;83.1
OK;Proctor CDP;89.4
MN;Proctor city;94.2
VT;Proctorsville CDP;85.4
NC;Proctorville town;81.3
OH;Proctorville village;83.5
TX;Progreso city;47.3
TX;Progreso Lakes city;77.4
PA;Progress CDP;92.7
FL;Progress Village CDP;85
IA;Promise City city;95
SC;Promised Land CDP;56.5
PA;Prompton borough;89.4
OR;Pronghorn CDP;100
IL;Prophetstown city;87.4
PA;Prospect borough;92.5
LA;Prospect CDP;83.3
NC;Prospect CDP;73.5
OR;Prospect CDP;93.4
KY;Prospect city;99.4
IL;Prospect Heights city;86.4
NJ;Prospect Park borough;85.7
PA;Prospect Park borough;91.8
PA;Prospect Park CDP;94.2
NY;Prospect village;92.9
OH;Prospect village;95.3
TX;Prosper town;97
WV;Prosperity CDP;84.8
SC;Prosperity town;77.3
WA;Prosser city;81.7
NE;Prosser village;98.8
KS;Protection city;84.5
IA;Protivin city;90.8
LA;Provencal village;75.7
KY;Providence city;78.4
RI;Providence city;74.2
UT;Providence city;97.1
AL;Providence town;90.5
TX;Providence Village town;99.4
MA;Provincetown CDP;92.5
UT;Provo city;90.5
MI;Prudenville CDP;91.9
AK;Prudhoe Bay CDP;96.4
OK;Prue town;73.3
CA;Prunedale CDP;78.9
MT;Pryor CDP;88.4
OK;Pryor Creek city;87.9
KY;Pryorsburg CDP;96.6
HI;Puako CDP;98.1
MS;Puckett village;88.2
NM;Pueblito CDP;84
NM;Pueblitos CDP;79.8
NM;Pueblo CDP;100
CO;Pueblo city;85.3
TX;Pueblo East CDP;-
TX;Pueblo Nuevo CDP;36.9
NM;Pueblo of Sandia Village CDP;95.4
NM;Pueblo Pintado CDP;84.5
CO;Pueblo West CDP;94.6
NM;Puerto de Luna CDP;81.8
WA;Puget Island CDP;99.5
HI;Puhi CDP;92.1
HI;Pukalani CDP;94.5
SD;Pukwana town;91
OH;Pulaski CDP;81.3
IA;Pulaski city;93.8
TN;Pulaski city;77.8
GA;Pulaski town;84.8
VA;Pulaski town;80.4
IL;Pulaski village;72.8
NY;Pulaski village;92.6
WI;Pulaski village;95.9
WI;Pulcifer CDP;85.8
WA;Pullman city;97.7
WV;Pullman town;73.2
NM;Pulpotio Bareas CDP;100
NY;Pultneyville CDP;97.9
OK;Pump Back CDP;100
NC;Pumpkin Center CDP;93.8
HI;Punaluu CDP;93
VA;Pungoteague CDP;96.5
FL;Punta Gorda city;95.9
FL;Punta Rassa CDP;98.2
PA;Punxsutawney borough;85.6
HI;Pupukea CDP;96.3
MO;Purcell city;86.9
OK;Purcell city;76.8
VA;Purcellville town;95.1
MO;Purdin city;69.6
WA;Purdy CDP;96.1
MO;Purdy city;69
WY;Purple Sage CDP;70.8
MS;Purvis city;84.5
TN;Puryear city;82.8
OH;Put-in-Bay village;93.8
AL;Putnam CDP;72.8
CT;Putnam CDP;90.3
NY;Putnam Lake CDP;88.3
OK;Putnam town;86.7
TX;Putnam town;87.8
GA;Putney CDP;81
VT;Putney CDP;88.8
MO;Puxico city;84.1
WA;Puyallup city;92.2
AR;Pyatt town;81.5
MD;Pylesville CDP;96
PA;Pymatuning Central CDP;88
PA;Pymatuning North CDP;85
PA;Pymatuning South CDP;88
TX;Pyote town;70.4
TX;Quail CDP;86.7
TX;Quail Creek CDP;91.1
FL;Quail Ridge CDP;91
OH;Quaker City village;85.2
PA;Quakertown borough;87.6
MN;Quamba city;82.1
TX;Quanah city;82.1
VA;Quantico Base CDP;98.2
MD;Quantico CDP;100
VA;Quantico town;85.6
OK;Quapaw town;76.1
PA;Quarryville borough;89
CA;Quartz Hill CDP;85
AZ;Quartzsite town;81
IA;Quasqueton city;93.4
VT;Quechee CDP;100
MD;Queen Anne CDP;96.3
MD;Queen Anne town;95.1
MO;Queen City city;80.6
TX;Queen City city;84.3
AZ;Queen Creek town;96
AZ;Queen Valley CDP;95.4
PA;Queens Gate CDP;90.9
MD;Queensland CDP;86.7
MD;Queenstown town;90.8
WA;Queets CDP;75.8
NM;Quemado CDP;100
TX;Quemado CDP;18.3
KS;Quenemo city;75.6
PA;Quentin CDP;98.2
TX;Quesada CDP;-
NM;Questa village;82.6
WA;Quilcene CDP;94.8
IA;Quimby city;76.5
WA;Qui-nai-elt Village CDP;91.4
VA;Quinby CDP;82
SC;Quinby town;93
CA;Quincy CDP;86.5
FL;Quincy city;75.7
IL;Quincy city;91
MA;Quincy city;88.7
WA;Quincy city;55.7
MI;Quincy village;88.9
OH;Quincy village;78.9
CT;Quinebaug CDP;86.5
AK;Quinhagak city;66.7
TX;Quinlan city;72.5
SD;Quinn town;96.8
MI;Quinnesec CDP;92.5
TX;Quintana town;60.5
KS;Quinter city;95.4
NJ;Quinton CDP;89.9
OK;Quinton town;74.6
WV;Quinwood town;77
NY;Quiogue CDP;94.8
TX;Quitaque city;65.1
AR;Quitman city;79.5
GA;Quitman city;69.9
MS;Quitman city;84.1
TX;Quitman city;87
MO;Quitman town;65.5
LA;Quitman village;93.4
MO;Qulin city;68.3
NY;Quogue village;98
RI;Quonochontaug CDP;95.4
KY;Rabbit Hash CDP;100
LA;Raceland CDP;74.2
KY;Raceland city;86.2
NV;Rachel CDP;100
WV;Rachel CDP;90.7
WV;Racine CDP;89.7
MN;Racine city;94.4
WI;Racine city;80.9
OH;Racine village;90.1
CA;Rackerby CDP;88.1
TX;Radar Base CDP;38.3
KY;Radcliff city;89.1
IA;Radcliffe city;86.5
MT;Rader Creek CDP;100
MT;Radersburg CDP;89.1
VA;Radford city;89.4
WI;Radisson village;91.2
KS;Radium city;96.3
NM;Radium Springs CDP;77.7
OH;Radnor CDP;96.1
IL;Radom village;91
NC;Raeford city;75.8
NC;Raemon CDP;57.9
NE;Raeville CDP;-
TX;Rafael Pena CDP;-
WA;Raft Island CDP;97.2
WY;Rafter J Ranch CDP;97.1
NE;Ragan village;77.1
AL;Ragland town;73.9
IN;Raglesville CDP;0
IN;Ragsdale CDP;91.6
NJ;Rahway city;90
FL;Raiford town;87.4
CA;Rail Road Flat CDP;93.3
PA;Railroad borough;83.2
CA;Rainbow CDP;83.2
AZ;Rainbow City CDP;65.5
AL;Rainbow City city;92.5
WV;Rainelle town;76.6
OR;Rainier city;92.7
WA;Rainier city;88.8
PA;Rainsburg borough;86.1
AL;Rainsville city;82.3
CA;Raisin City CDP;22.2
IA;Rake city;84.1
FL;Raleigh CDP;75.2
ND;Raleigh CDP;100
NC;Raleigh city;90.5
OR;Raleigh Hills CDP;98
MS;Raleigh town;76.3
IL;Raleigh village;91.8
TX;Ralls city;64.5
WY;Ralston CDP;89.2
IA;Ralston city;89.1
NE;Ralston city;87.6
OK;Ralston town;80.4
NM;Ramah CDP;78.2
CO;Ramah town;91.5
NJ;Ramblewood CDP;94.4
PA;Ramblewood CDP;100
TN;Ramer city;84.8
PA;Ramey borough;88.4
TX;Ramireno CDP;100
TX;Ramirez-Perez CDP;100
CA;Ramona CDP;80.8
KS;Ramona city;76.1
OK;Ramona town;82.2
SD;Ramona town;90.4
TX;Ramos CDP;27.9
AK;Rampart CDP;0
NC;Ramseur town;70.9
NJ;Ramsey borough;98
MN;Ramsey city;96.4
IL;Ramsey village;81.5
NJ;Ramtown CDP;97.5
AL;Ranburne town;86.5
WY;Ranchester town;96.3
TX;Ranchette Estates CDP;0
WY;Ranchettes CDP;95.9
TX;Ranchitos del Norte CDP;-
TX;Ranchitos East CDP;31.3
TX;Ranchitos Las Lomas CDP;28.6
TX;Rancho Alegre CDP;42.9
TX;Rancho Banquete CDP;94.6
CA;Rancho Calaveras CDP;92.4
TX;Rancho Chico CDP;35.7
CA;Rancho Cordova city;89.3
CA;Rancho Cucamonga city;91
NM;Rancho Grande CDP;100
AZ;Rancho Mesa Verde CDP;11.8
CA;Rancho Mirage city;95.5
CA;Rancho Murieta CDP;97.5
CA;Rancho Palos Verdes city;97.6
CA;Rancho San Diego CDP;92.7
CA;Rancho Santa Fe CDP;96.4
CA;Rancho Santa Margarita city;95.2
CA;Rancho Tehama Reserve CDP;72.6
TX;Rancho Viejo CDP;71
TX;Rancho Viejo town;94.3
NM;Ranchos de Taos CDP;74.6
TX;Ranchos Penitas West CDP;55.6
WV;Rand CDP;78.2
IA;Randalia city;91.7
IA;Randall city;90.8
KS;Randall city;93
MN;Randall city;89.1
MD;Randallstown CDP;93.5
NC;Randleman city;72.8
UT;Randlett CDP;76.2
OK;Randlett town;81.3
TX;Randolph AFB CDP;98.6
ME;Randolph CDP;90.9
MA;Randolph CDP;86.9
NY;Randolph CDP;89.9
VT;Randolph CDP;85.7
IA;Randolph city;90.2
KS;Randolph city;99.1
MN;Randolph city;92.9
NE;Randolph city;89.3
UT;Randolph town;93.3
MO;Randolph village;76.5
WI;Randolph village;87.1
WI;Random Lake village;93.1
CA;Randsburg CDP;100
CO;Rangely town;91.7
TX;Ranger city;76.7
GA;Ranger town;65.7
TX;Rangerville village;36.5
MN;Ranier city;96.7
PA;Rankin borough;82.1
TX;Rankin city;73.2
IL;Rankin village;80.3
NC;Ranlo town;79.3
PA;Ranshaw CDP;75.6
TX;Ransom Canyon town;97.1
KS;Ransom city;94.7
IL;Ransom village;94.4
NY;Ransomville CDP;91.7
WV;Ranson corporation;88
KS;Rantoul city;83.5
IL;Rantoul village;86.7
GA;Raoul CDP;69.3
MI;Rapid City CDP;88.5
SD;Rapid City city;91.7
SD;Rapid Valley CDP;96.2
NY;Rapids CDP;91.7
IL;Rapids City village;91.7
OH;Rarden village;84.7
NJ;Raritan borough;95.2
IL;Raritan village;97.3
TX;Ratamosa CDP;0
AR;Ratcliff city;83.3
IA;Rathbun city;98.4
ID;Rathdrum city;91.6
OK;Ratliff City town;95.1
NM;Raton city;84.5
OK;Rattan town;84.6
PA;Raubsville CDP;95
PA;Rauchtown CDP;88.1
MT;Ravalli CDP;75.4
MO;Ravanna CDP;93.2
VA;Raven CDP;51.3
NY;Ravena village;90.8
AR;Ravenden Springs town;54.4
AR;Ravenden town;75.3
SC;Ravenel town;81.2
KY;Ravenna city;84.4
NE;Ravenna city;89.9
OH;Ravenna city;84.1
TX;Ravenna city;84.4
MI;Ravenna village;93.4
WA;Ravensdale CDP;92.6
WV;Ravenswood city;93
VA;Ravensworth CDP;84.7
MO;Ravenwood town;92.7
OK;Ravia town;71.3
PA;Ravine CDP;91.3
SD;Ravinia town;80.7
MD;Rawlings CDP;94.2
WY;Rawlins city;88.3
MS;Rawls Springs CDP;80.8
OH;Rawson village;90.9
AL;Ray CDP;82.9
ND;Ray city;93.8
GA;Ray City city;85.5
OH;Rayland village;88.6
GA;Rayle town;58.5
CO;Raymer (New Raymer) town;79.3
NH;Raymond CDP;91.7
OH;Raymond CDP;85.5
IA;Raymond city;95.5
KS;Raymond city;92.5
MN;Raymond city;92.8
MS;Raymond city;89.2
WA;Raymond city;81.8
SD;Raymond town;67.3
IL;Raymond village;89.3
NE;Raymond village;90.1
TX;Raymondville city;59.9
MO;Raymondville town;78.3
MO;Raymore city;96.5
LA;Rayne city;69.8
MA;Raynham Center CDP;92.8
NC;Raynham town;82.9
WV;Raysal CDP;35.9
MO;Raytown city;91.8
MO;Rayville CDP;73.4
LA;Rayville town;71.7
KY;Raywick city;81
MO;Rea city;88.4
AR;Reader CDP;44.4
WV;Reader CDP;73.5
MA;Reading CDP;96.8
KS;Reading city;83.3
MI;Reading city;86.9
OH;Reading city;85.4
PA;Reading city;65.1
IA;Readlyn city;92
VT;Readsboro CDP;71.6
WI;Readstown village;81
TX;Realitos CDP;52.5
PA;Reamstown CDP;91.6
WA;Reardan town;95.2
IA;Reasnor city;89.1
GA;Rebecca town;62.4
PA;Rebersburg CDP;93.3
AR;Rector city;84.3
NJ;Red Bank borough;78.8
SC;Red Bank CDP;86.1
TN;Red Bank city;90
AL;Red Bay city;77.1
CA;Red Bluff city;85.3
TN;Red Boiling Springs city;61.9
IL;Red Bud city;91
WY;Red Butte CDP;100
LA;Red Chute CDP;89.9
CO;Red Cliff town;92
NE;Red Cloud city;86.6
CA;Red Corral CDP;94.3
NY;Red Creek village;84.9
NC;Red Cross town;80
AK;Red Devil CDP;66.7
AK;Red Dog Mine CDP;90.9
CO;Red Feather Lakes CDP;100
PA;Red Hill borough;90.4
SC;Red Hill CDP;87.3
NY;Red Hook village;90.1
WV;Red Jacket CDP;70.7
MN;Red Lake CDP;74.3
MN;Red Lake Falls city;92.8
AL;Red Level town;79.2
TX;Red Lick city;95.4
PA;Red Lion borough;83.5
MT;Red Lodge city;92.6
AZ;Red Mesa CDP;81.1
IA;Red Oak city;84.8
TX;Red Oak city;84.2
NC;Red Oak town;90.1
OK;Red Oak town;75.1
NY;Red Oaks Mill CDP;97.2
NM;Red River town;99.2
AZ;Red Rock CDP (Apache County);74.3
AZ;Red Rock CDP (Pinal County);92.6
OK;Red Rock town;89.7
NC;Red Springs town;76
MN;Red Wing city;92.4
GA;Redan CDP;92.1
OK;Redbird Smith CDP;84.7
OK;Redbird town;80.4
MN;Redby CDP;82.1
CA;Redcrest CDP;100
LA;Reddell CDP;88.7
FL;Reddick town;62.8
IL;Reddick village;93.5
CA;Redding city;90.6
IA;Redding city;82.6
TX;Redfield CDP;61.7
AR;Redfield city;87.9
IA;Redfield city;91
KS;Redfield city;82.7
SD;Redfield city;92.5
NY;Redford CDP;93.7
TX;Redford CDP;77.8
WI;Redgranite village;80.1
MO;Redings Mill village;89.6
FL;Redington Beach town;94.8
FL;Redington Shores town;95.7
IN;Redkey town;90.9
AL;Redland CDP;91.8
MD;Redland CDP;89.4
TX;Redland CDP;83
CO;Redlands CDP;92.4
CA;Redlands city;90.4
IL;Redmon village;90.5
OR;Redmond city;89.6
WA;Redmond city;95.3
UT;Redmond town;90.2
CA;Redondo Beach city;95.8
AL;Redstone Arsenal CDP;94
CO;Redstone CDP;100
CO;Redvale CDP;95.3
MS;Redwater CDP;78.8
TX;Redwater city;93.9
CA;Redway CDP;88.4
NY;Redwood CDP;69.4
OR;Redwood CDP;90.9
TX;Redwood CDP;59.6
CA;Redwood City city;84.6
MN;Redwood Falls city;87.7
CA;Redwood Valley CDP;97.3
SD;Ree Heights town;93
AL;Reece City town;85.6
MI;Reed City city;86.3
GA;Reed Creek CDP;86.4
MT;Reed Point CDP;98.9
AR;Reed town;44
ND;Reeder city;90.6
CA;Reedley city;60.9
MO;Reeds Spring city;88.2
MO;Reeds town;86.3
WI;Reedsburg city;90.7
OR;Reedsport city;84.7
PA;Reedsville CDP;84.6
WV;Reedsville town;83.9
WI;Reedsville village;92.1
WV;Reedy town;91.3
AL;Reeltown CDP;78.5
MI;Reese village;94.1
WI;Reeseville village;83.9
LA;Reeves village;79.3
SC;Reevesville town;76.4
AL;Reform town;79.4
PA;Refton CDP;77.6
TX;Refugio town;77.4
MN;Regal city;100
ND;Regan city;78.4
ND;Regent city;93.9
NM;Regina CDP;100
TX;Regino Ramirez CDP;66.7
GA;Register town;77.1
AL;Rehobeth town;84.9
DE;Rehoboth Beach city;98.9
PA;Rehrersburg CDP;70.9
MD;Reid CDP;32.6
TX;Reid Hope King CDP;41.4
KY;Reidland CDP;95.3
GA;Reidsville city;80.6
NC;Reidsville city;87.5
SC;Reidville town;91.3
PA;Reiffton CDP;95.5
ND;Reile's Acres city;99.3
IA;Reinbeck city;95.5
PA;Reinerton CDP;82.3
PA;Reinholds CDP;96
MD;Reisterstown CDP;90
TX;Reklaw city;80.5
TX;Relampago CDP;31.8
WY;Reliance CDP;83
SD;Reliance town;92.4
CA;Reliez Valley CDP;96.4
SC;Rembert CDP;85.1
IA;Rembrandt city;81.4
MN;Remer city;83.3
GA;Remerton city;96.4
OH;Reminderville village;96
OH;Remington CDP;100
IN;Remington town;83.3
VA;Remington town;85.4
IA;Remsen city;91.7
NY;Remsen village;88.8
NY;Remsenburg-Speonk CDP;98.9
OK;Remy CDP;98.4
TX;Rendon CDP;89.2
OH;Rendville village;73.9
OK;Renfrow town;84.6
MO;Renick village;97
SD;Renner Corner CDP;86
PA;Rennerdale CDP;97.2
NC;Rennert town;72
PA;Renningers CDP;90.9
OH;Reno CDP;90.3
NV;Reno city;85.7
TX;Reno city (Lamar County);88.9
TX;Reno city (Parker and Tarrant Counties);85.8
MS;Renova town;75.5
PA;Renovo borough;82.8
IN;Rensselaer city;83.2
NY;Rensselaer city;89.6
NY;Rensselaer Falls village;89.2
MO;Rensselaer village;87.4
IL;Rentchler CDP;-
OK;Rentiesville town;78.1
WA;Renton city;89.1
GA;Rentz city;88.8
MN;Renville city;83.9
IA;Renwick city;89.3
AL;Repton town;58
MI;Republic CDP;92.8
PA;Republic CDP;89
KS;Republic city;89.6
MO;Republic city;93.2
WA;Republic city;88.7
OH;Republic village;93.4
NE;Republican City village;90.8
GA;Resaca town;70.7
LA;Reserve CDP;82.8
MT;Reserve CDP;100
WI;Reserve CDP;72.6
KS;Reserve city;65.5
NM;Reserve village;80.9
GA;Rest Haven town;54.9
VA;Reston CDP;95.5
TX;Retreat town;84.4
NY;Retsof CDP;100
ID;Reubens city;97.8
MA;Revere city;82.2
MN;Revere city;79.7
MO;Revere town;85.5
SD;Revillo town;87
PA;Revloc CDP;83.1
PA;Rew CDP;86
WI;Rewey village;93.4
NC;Rex CDP;100
ID;Rexburg city;97.8
KS;Rexford city;85.7
MT;Rexford town;85
OK;Reydon town;93.3
AR;Reyno city;78.7
GA;Reynolds city;81.9
ND;Reynolds city;95.3
PA;Reynolds Heights CDP;84.2
IN;Reynolds town;86.9
IL;Reynolds village;95
NE;Reynolds village;95.3
OH;Reynoldsburg city;93.1
PA;Reynoldsville borough;92
ND;Rhame city;87.7
PA;Rheems CDP;98
GA;Rhine town;69.4
NY;Rhinebeck village;93.3
NY;Rhinecliff CDP;88.6
MO;Rhineland town;94
WI;Rhinelander city;89.8
WV;Rhodell town;61.8
IA;Rhodes city;90.9
NC;Rhodhiss town;72.9
TX;Rhome city;88.1
CA;Rialto city;67.4
WI;Rib Lake village;84.5
WI;Rib Mountain CDP;96.8
NM;Ribera CDP;83.7
TX;Ricardo CDP;95.7
MN;Rice city;95
TX;Rice city;80.5
MN;Rice Lake CDP;64.6
WI;Rice Lake city;91.3
GA;Riceboro city;78.7
PA;Rices Landing borough;87.9
PA;Riceville CDP;85
TN;Riceville CDP;88.7
IA;Riceville city;90.1
VA;Rich Creek town;86.1
MO;Rich Hill city;75.8
NC;Rich Square town;73.7
MO;Richards town;97.1
TX;Richardson city;92.2
ND;Richardton city;87
PA;Richboro CDP;95.3
SC;Richburg town;77.5
NY;Richburg village;87.6
MT;Richey town;97.4
CA;Richfield CDP;97.9
NE;Richfield CDP;100
PA;Richfield CDP;80.5
ID;Richfield city;74.2
KS;Richfield city;96.4
MN;Richfield city;88.7
UT;Richfield city;91.4
NY;Richfield Springs village;82.6
NC;Richfield town;78.4
OH;Richfield village;95.1
WI;Richfield village;95.8
VT;Richford CDP;75.2
CA;Richgrove CDP;30.2
PA;Richland borough;85.3
SD;Richland CDP;65.5
WI;Richland Center city;90.2
GA;Richland city;64.5
IA;Richland city;90.6
MS;Richland city;87
MO;Richland city;85.7
OR;Richland city;88.1
WA;Richland city;95.4
TX;Richland Hills city;82.8
TX;Richland Springs town;90.9
IN;Richland town;90.8
TX;Richland town;74.3
MI;Richland village;96.2
NE;Richland village;85.4
NC;Richlands town;92.1
VA;Richlands town;76.2
PA;Richlandtown borough;94.5
KY;Richlawn city;98
ME;Richmond CDP;88.8
VT;Richmond CDP;91.2
CA;Richmond city;77.1
IN;Richmond city;80.6
KS;Richmond city;90.8
KY;Richmond city;86.2
MI;Richmond city;85.7
MN;Richmond city;86.3
MO;Richmond city;86.8
TX;Richmond city;64.5
UT;Richmond city;96.7
VA;Richmond city;83.2
OH;Richmond Dale CDP;68.6
FL;Richmond Heights CDP;86.9
MO;Richmond Heights city;97.4
OH;Richmond Heights city;91.8
GA;Richmond Hill city;93.8
IL;Richmond village;94.2
LA;Richmond village;78
OH;Richmond village;89.8
FL;Richmond West CDP;86.3
NY;Richmondville village;78.6
IL;Richton Park village;94.1
MS;Richton town;87.6
CA;Richvale CDP;87.4
IL;Richview village;87.8
OH;Richville CDP;89.7
MN;Richville city;88.9
NY;Richville village;89
NJ;Richwood CDP;98.1
TX;Richwood city;89.2
WV;Richwood city;82.6
LA;Richwood town;62.9
OH;Richwood village;86.2
IA;Rickardsville city;93.3
IA;Ricketts city;93.2
OR;Rickreall CDP;-
CO;Rico town;96.4
OR;Riddle city;86.3
GA;Riddleville town;61
NY;Ridge CDP;92.1
IL;Ridge Farm village;92
FL;Ridge Manor CDP;88
SC;Ridge Spring town;83.9
FL;Ridge Wood Heights CDP;94.2
FL;Ridgecrest CDP;83.4
CA;Ridgecrest city;90.2
LA;Ridgecrest town;77.9
NJ;Ridgefield borough;90.2
CT;Ridgefield CDP;98.1
WA;Ridgefield city;96.5
NJ;Ridgefield Park village;91
MS;Ridgeland city;93.3
SC;Ridgeland town;75.6
WI;Ridgeland village;92
WV;Ridgeley town;79.8
MD;Ridgely town;82.8
TN;Ridgely town;66.1
MO;Ridgely village;97
CA;Ridgemark CDP;96.9
TN;Ridgeside city;97.6
TN;Ridgetop city;88.8
OH;Ridgeville Corners CDP;97.5
AL;Ridgeville town;69.6
IN;Ridgeville town;80.8
SC;Ridgeville town;64.4
AK;Ridgeway CDP;96.4
IA;Ridgeway city;89.3
MO;Ridgeway city;81.5
SC;Ridgeway town;87.1
VA;Ridgeway town;80.8
OH;Ridgeway village;91.4
WI;Ridgeway village;85.9
NJ;Ridgewood village;97.6
PA;Ridgway borough;93.8
CO;Ridgway town;98.3
IL;Ridgway village;87
PA;Ridley Park borough;92.5
IL;Ridott village;82.7
PA;Riegelsville borough;93.4
NC;Riegelwood CDP;61.7
MS;Rienzi town;71.1
TX;Riesel city;90.6
CO;Rifle city;84.3
NY;Rifton CDP;100
ID;Rigby city;90
ID;Riggins city;90.6
KS;Riley city;92.5
IN;Riley town;91.1
AZ;Rillito CDP;54.8
PA;Rimersburg borough;84.1
IA;Rinard city;91.1
NM;Rincon CDP;0
GA;Rincon town;89.5
AZ;Rincon Valley CDP;95.1
VA;Riner CDP;84.2
KY;Rineyville CDP;94.2
MD;Ringgold CDP;67.6
GA;Ringgold city;79.8
LA;Ringgold town;73.4
OK;Ringling town;83.5
IA;Ringsted city;93.4
PA;Ringtown borough;93.7
NJ;Ringwood borough;92.3
OK;Ringwood town;82.1
IL;Ringwood village;98.4
TX;Rio Bravo city;43.5
FL;Rio CDP;96
NM;Rio Communities CDP;92.1
CA;Rio del Mar CDP;97.5
CA;Rio Dell city;87.4
NM;Rio en Medio CDP;72.2
NJ;Rio Grande CDP;83.6
TX;Rio Grande City city;59.8
OH;Rio Grande village;93.8
TX;Rio Hondo city;68.9
CA;Rio Linda CDP;81.2
NM;Rio Lucio CDP;85.6
CA;Rio Oso CDP;86.6
FL;Rio Pinar CDP;95.4
NM;Rio Rancho city;93
AZ;Rio Rico CDP;76.4
AZ;Rio Verde CDP;97.8
IL;Rio village;88.2
WI;Rio village;92.7
CA;Rio Vista city;92.1
TX;Rio Vista city;81.1
CA;Ripley CDP;41.6
NY;Ripley CDP;83.7
MS;Ripley city;77.1
TN;Ripley city;77.5
WV;Ripley city;82.8
OK;Ripley town;82.1
IL;Ripley village;79.6
OH;Ripley village;77.4
CA;Ripon city;90.6
WI;Ripon city;89.4
IA;Rippey city;88
ID;Ririe city;80
MO;Risco city;87.7
NE;Rising City village;90.7
TX;Rising Star town;73.7
IN;Rising Sun city;84.9
MD;Rising Sun town;87.4
DE;Rising Sun-Lebanon CDP;88.6
OH;Risingsun village;94.8
AR;Rison city;78.1
MO;Ritchey town;85.7
OH;Rittman city;87.4
WA;Ritzville city;92.4
MD;Riva CDP;96.5
VA;Rivanna CDP;98.2
NC;River Bend town;96.5
MO;River Bend village;100
KY;River Bluff city;99.3
OK;River Bottom CDP;80.7
NJ;River Edge borough;93.1
WI;River Falls city;95.9
AL;River Falls town;64.6
IN;River Forest town;100
IL;River Forest village;96.6
IL;River Grove village;89.2
UT;River Heights city;97.2
WI;River Hills village;99
TX;River Oaks city;72.9
FL;River Park CDP;77.7
CA;River Pines CDP;92.2
FL;River Ridge CDP;89.5
LA;River Ridge CDP;93.5
NC;River Road CDP;81.2
WA;River Road CDP;87.6
MI;River Rouge city;72.2
IA;River Sioux CDP;75
CA;Riverbank city;75.8
MT;Riverbend CDP;82.4
WA;Riverbend CDP;97.8
NJ;Riverdale borough;94.1
CA;Riverdale CDP;63.4
VA;Riverdale CDP;80.5
GA;Riverdale city;85.6
IA;Riverdale city;95.4
ND;Riverdale city;97.4
UT;Riverdale city;91.5
CA;Riverdale Park CDP;61.1
MD;Riverdale Park town;63.4
IL;Riverdale village;87.4
NE;Riverdale village;93.7
TX;Rivereno CDP;-
OR;Rivergrove city;99.2
NY;Riverhead CDP;84.5
MN;Riverland CDP;84.4
OH;Riverlea village;98.6
NM;Rivers CDP;-
PA;Riverside borough;92.7
CT;Riverside CDP;97
ID;Riverside CDP;86.8
MD;Riverside CDP;93.5
NY;Riverside CDP;70.9
OR;Riverside CDP;89.9
PA;Riverside CDP;93.8
UT;Riverside CDP;92.2
CA;Riverside city;78.5
IA;Riverside city;93.1
MO;Riverside city;88.1
OH;Riverside city;87.2
TX;Riverside city;78.4
AL;Riverside town;87
GA;Riverside town;66.7
WA;Riverside town;80.1
WY;Riverside town;100
IL;Riverside village;96.4
NY;Riverside village;87.6
NJ;Riverton borough;96.1
KS;Riverton CDP;94.8
IA;Riverton city;89.6
MN;Riverton city;88.2
UT;Riverton city;95.6
WY;Riverton city;89.7
IL;Riverton village;88.9
NE;Riverton village;77.6
DE;Riverview CDP;94.5
FL;Riverview CDP;91.9
SC;Riverview CDP;63.9
VA;Riverview CDP;62
MI;Riverview city;87.2
MO;Riverview Estates village;96.3
PA;Riverview Park CDP;92.6
AL;Riverview town;75.5
MO;Riverview village;84.3
KY;Riverwood city;99.7
IL;Riverwoods village;97.6
MO;Rives town;82.6
TN;Rives town;82.4
WV;Rivesville town;91.7
MD;Riviera Beach CDP;90.2
FL;Riviera Beach city;82.4
TX;Riviera CDP;61.9
IN;Roachdale town;83.6
OH;Roaming Shores village;92.2
TN;Roan Mountain CDP;71.9
IN;Roann town;82.8
LA;Roanoke CDP;82.9
AL;Roanoke city;77.2
TX;Roanoke city;91
VA;Roanoke city;84.4
NC;Roanoke Rapids city;79.6
IN;Roanoke town;96.5
IL;Roanoke village;96.1
PA;Roaring Spring borough;90.7
TX;Roaring Springs town;79
KY;Robards city;92.9
CA;Robbins CDP;68
TN;Robbins CDP;83.3
NC;Robbins town;70.9
IL;Robbins village;83.1
MN;Robbinsdale city;92.2
NJ;Robbinsville CDP;94.3
NC;Robbinsville town;66.3
LA;Robeline village;68.2
NC;Robersonville town;71.5
TX;Robert Lee city;85.3
GA;Roberta city;71.8
MT;Roberts CDP;94.9
ID;Roberts city;64.1
IL;Roberts village;81.9
WI;Roberts village;94.1
AL;Robertsdale city;79.9
WY;Robertson CDP;100
NJ;Robertsville CDP;96.4
OH;Robertsville CDP;100
PA;Robesonia borough;90.1
ID;Robie Creek CDP;98.7
MI;Robin Glen-Indiantown CDP;88.3
WV;Robinette CDP;87.9
MS;Robinhood CDP;74
GA;Robins AFB CDP;96.5
IA;Robins city;97.4
PA;Robinson CDP;90.8
IL;Robinson city;84.8
KS;Robinson city;91.3
ND;Robinson city;87.5
TX;Robinson city;91.9
CA;Robinson Mill CDP;-
MD;Robinwood CDP;93.8
TX;Robstown city;65.6
TX;Roby city;77
NE;Roca village;95.1
